"date","week","wind","frac"
1953,0,2.91,0.009
1953,1,2.5,0.009
1953,2,1.62,0.028
1953,3,1.17,0.047
1953,4,5.95,0.066
1953,5,4.26,0.085
1953,6,5.07,0.104
1953,7,3.38,0.123
1953,8,3.23,0.142
1953,9,1.54,0.16
1953,10,2.35,0.179
1953,11,2.86,0.198
1953,12,2.72,0.217
1953,13,7.27,0.236
1953,14,4.7,0.255
1953,15,4.19,0.274
1953,16,3.74,0.292
1953,17,5.29,0.311
1953,18,2.28,0.33
1953,19,5.07,0.349
1953,20,4.55,0.368
1953,21,3.97,0.387
1953,22,3.89,0.406
1953,23,2.57,0.425
1953,24,4.33,0.443
1953,25,2.94,0.462
1953,26,3.67,0.481
1953,27,5.29,0.5
1953,28,6.24,0.519
1953,29,5.43,0.538
1953,30,4.11,0.557
1953,31,2.79,0.575
1953,32,3.01,0.594
1953,33,5.07,0.613
1953,34,4.7,0.632
1953,35,5.07,0.651
1953,36,2.94,0.67
1953,37,3.89,0.689
1953,38,4.33,0.708
1953,39,3.45,0.726
1953,40,1.69,0.745
1953,41,2.57,0.764
1953,42,1.84,0.783
1953,43,3.01,0.802
1953,44,4.48,0.821
1953,45,5.58,0.84
1953,46,1.54,0.858
1953,47,3.82,0.877
1953,48,3.3,0.896
1953,49,2.5,0.915
1953,50,2.79,0.934
1953,51,2.72,0.953
1953,52,2.88,0.972
1954,0,2.06,0.009
1954,1,4.77,0.009
1954,2,6.39,0.028
1954,3,5.14,0.047
1954,4,5.87,0.066
1954,5,4.99,0.085
1954,6,3.97,0.104
1954,7,2.72,0.123
1954,8,5.43,0.142
1954,9,4.26,0.16
1954,10,4.26,0.179
1954,11,4.63,0.198
1954,12,4.33,0.217
1954,13,5.58,0.236
1954,14,2.64,0.255
1954,15,3.6,0.274
1954,16,2.79,0.292
1954,17,4.41,0.311
1954,18,5.07,0.33
1954,19,2.57,0.349
1954,20,3.97,0.368
1954,21,3.67,0.387
1954,22,3.01,0.406
1954,23,5.95,0.425
1954,24,3.89,0.443
1954,25,4.26,0.462
1954,26,3.74,0.481
1954,27,4.11,0.5
1954,28,5.21,0.519
1954,29,4.77,0.538
1954,30,6.17,0.557
1954,31,4.48,0.575
1954,32,4.33,0.594
1954,33,3.38,0.613
1954,34,2.94,0.632
1954,35,4.11,0.651
1954,36,4.99,0.67
1954,37,5.14,0.689
1954,38,5.65,0.708
1954,39,4.19,0.726
1954,40,4.04,0.745
1954,41,4.41,0.764
1954,42,5.87,0.783
1954,43,5.36,0.802
1954,44,2.57,0.821
1954,45,5.29,0.84
1954,46,1.1,0.858
1954,47,6.46,0.877
1954,48,7.2,0.896
1954,49,4.19,0.915
1954,50,3.67,0.934
1954,51,6.46,0.953
1954,52,4.8,0.972
1955,0,6.17,0.009
1955,1,5.14,0.009
1955,2,3.45,0.028
1955,3,3.08,0.047
1955,4,4.11,0.066
1955,5,5.29,0.085
1955,6,5.07,0.104
1955,7,3.74,0.123
1955,8,4.99,0.142
1955,9,3.52,0.16
1955,10,5.36,0.179
1955,11,3.38,0.198
1955,12,4.99,0.217
1955,13,4.04,0.236
1955,14,4.85,0.255
1955,15,3.82,0.274
1955,16,3.3,0.292
1955,17,4.7,0.311
1955,18,7.42,0.33
1955,19,6.02,0.349
1955,20,4.85,0.368
1955,21,3.52,0.387
1955,22,4.33,0.406
1955,23,4.19,0.425
1955,24,4.92,0.443
1955,25,4.26,0.462
1955,26,3.89,0.481
1955,27,3.97,0.5
1955,28,2.2,0.519
1955,29,3.01,0.538
1955,30,3.45,0.557
1955,31,2.2,0.575
1955,32,3.23,0.594
1955,33,3.16,0.613
1955,34,2.5,0.632
1955,35,2.86,0.651
1955,36,3.01,0.67
1955,37,3.97,0.689
1955,38,2.5,0.708
1955,39,2.5,0.726
1955,40,3.97,0.745
1955,41,1.54,0.764
1955,42,5.14,0.783
1955,43,3.08,0.802
1955,44,2.79,0.821
1955,45,4.85,0.84
1955,46,2.42,0.858
1955,47,2.86,0.877
1955,48,1.76,0.896
1955,49,4.55,0.915
1955,50,4.41,0.934
1955,51,3.67,0.953
1955,52,6.9,0.972
1956,1,2.06,0.009
1956,2,4.85,0.028
1956,3,5.14,0.047
1956,4,4.11,0.066
1956,5,2.94,0.085
1956,6,3.82,0.104
1956,7,3.67,0.123
1956,8,5.14,0.142
1956,9,5.95,0.16
1956,10,4.04,0.179
1956,11,3.08,0.198
1956,12,5.29,0.217
1956,13,4.48,0.236
1956,14,3.89,0.255
1956,15,4.11,0.274
1956,16,2.5,0.292
1956,17,2.94,0.311
1956,18,3.16,0.33
1956,19,5.07,0.349
1956,20,2.86,0.368
1956,21,3.16,0.387
1956,22,3.52,0.406
1956,23,6.31,0.425
1956,24,3.52,0.443
1956,25,3.97,0.462
1956,26,3.82,0.481
1956,27,6.24,0.5
1956,28,2.79,0.519
1956,29,3.01,0.538
1956,30,3.97,0.557
1956,31,6.61,0.575
1956,32,3.08,0.594
1956,33,6.46,0.613
1956,34,3.82,0.632
1956,35,4.11,0.651
1956,36,4.48,0.67
1956,37,3.74,0.689
1956,38,3.45,0.708
1956,39,4.55,0.726
1956,40,4.11,0.745
1956,41,1.25,0.764
1956,42,3.38,0.783
1956,43,4.33,0.802
1956,44,5.51,0.821
1956,45,3.45,0.84
1956,46,2.2,0.858
1956,47,2.5,0.877
1956,48,5.8,0.896
1956,49,3.74,0.915
1956,50,6.76,0.934
1956,51,3.08,0.953
1956,52,4.26,0.972
1956,53,6.68,0.991
1957,0,5.45,0.009
1957,1,4.77,0.009
1957,2,4.99,0.028
1957,3,5.95,0.047
1957,4,6.76,0.066
1957,5,6.46,0.085
1957,6,4.7,0.104
1957,7,3.23,0.123
1957,8,3.08,0.142
1957,9,2.72,0.16
1957,10,4.41,0.179
1957,11,6.76,0.198
1957,12,3.52,0.217
1957,13,3.38,0.236
1957,14,4.41,0.255
1957,15,3.6,0.274
1957,16,4.99,0.292
1957,17,3.74,0.311
1957,18,4.26,0.33
1957,19,6.83,0.349
1957,20,4.77,0.368
1957,21,4.41,0.387
1957,22,4.33,0.406
1957,23,4.48,0.425
1957,24,4.41,0.443
1957,25,3.67,0.462
1957,26,3.38,0.481
1957,27,5.73,0.5
1957,28,4.41,0.519
1957,29,4.99,0.538
1957,30,3.23,0.557
1957,31,5.65,0.575
1957,32,5.43,0.594
1957,33,4.85,0.613
1957,34,4.04,0.632
1957,35,4.55,0.651
1957,36,6.39,0.67
1957,37,3.67,0.689
1957,38,4.7,0.708
1957,39,3.3,0.726
1957,40,1.1,0.745
1957,41,3.16,0.764
1957,42,5.21,0.783
1957,43,6.61,0.802
1957,44,5.95,0.821
1957,45,4.63,0.84
1957,46,2.94,0.858
1957,47,2.57,0.877
1957,48,2.35,0.896
1957,49,7.2,0.915
1957,50,4.85,0.934
1957,51,3.45,0.953
1957,52,5.65,0.972
1958,0,5.4,0.009
1958,1,8,0.009
1958,2,3.3,0.028
1958,3,4.7,0.047
1958,4,3.01,0.066
1958,5,4.63,0.085
1958,6,7.86,0.104
1958,7,5.29,0.123
1958,8,5.58,0.142
1958,9,4.33,0.16
1958,10,4.55,0.179
1958,11,5.65,0.198
1958,12,5.36,0.217
1958,13,4.11,0.236
1958,14,4.92,0.255
1958,15,5.36,0.274
1958,16,4.85,0.292
1958,17,3.82,0.311
1958,18,6.02,0.33
1958,19,6.09,0.349
1958,20,6.68,0.368
1958,21,3.3,0.387
1958,22,4.48,0.406
1958,23,3.01,0.425
1958,24,3.52,0.443
1958,25,4.63,0.462
1958,26,2.5,0.481
1958,27,1.98,0.5
1958,28,4.11,0.519
1958,29,4.77,0.538
1958,30,6.54,0.557
1958,31,4.19,0.575
1958,32,5.07,0.594
1958,33,2.35,0.613
1958,34,3.01,0.632
1958,35,2.72,0.651
1958,36,4.11,0.67
1958,37,3.16,0.689
1958,38,5.29,0.708
1958,39,6.31,0.726
1958,40,4.48,0.745
1958,41,4.63,0.764
1958,42,2.5,0.783
1958,43,1.69,0.802
1958,44,2.94,0.821
1958,45,2.35,0.84
1958,46,3.01,0.858
1958,47,2.42,0.877
1958,48,1.91,0.896
1958,49,3.67,0.915
1958,50,4.26,0.934
1958,51,2.94,0.953
1958,52,5.14,0.972
